city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips,id
Boise,Boise,ID,Idaho,16001,Ada,43.5991,-116.2306,379410,223154,1070,polygon,TRUE,America/Boise,83703 83702 83709 83706 83705 83704 83716 83712 83713 83701 83708 83715 83717 83720 83722 83724 83725 83728 83729 83735 83756 83799,1840027142
Nampa,Nampa,ID,Idaho,16027,Canyon,43.5833,-116.5641,169761,91382,1136,polygon,TRUE,America/Boise,83651 83687 83686,1840020041
Coeur d'Alene,Coeur d'Alene,ID,Idaho,16055,Kootenai,47.7041,-116.7928,112088,50285,1245,polygon,TRUE,America/Los_Angeles,83815 83814 83816,1840018402
Idaho Falls,Idaho Falls,ID,Idaho,16019,Bonneville,43.4878,-112.0359,96166,60211,1029,polygon,TRUE,America/Boise,83401 83402 83404 83415,1840018644
Meridian,Meridian,ID,Idaho,16001,Ada,43.6182,-116.398,95623,95623,1351,polygon,TRUE,America/Boise,83646 83642 83680,1840020046
Chicago,Chicago,IL,Illinois,17031,Cook,41.8373,-87.6861,8639278,2704958,4585,polygon,TRUE,America/Chicago,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60631 60827 60638 60639 60634 60636 60637 60630 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60661 60660 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60691 60693 60694 60695 60696 60697 60699 60701,1840000494
Rockford,Rockford,IL,Illinois,17201,Winnebago,42.2594,-89.0646,286727,147651,899,polygon,TRUE,America/Chicago,61101 61114 61109 61108 61104 61107 61103 61102 61105 61106 61110 61125 61126,1840009132
Round Lake Beach,Round Lake Beach,IL,Illinois,17097,Lake,42.379,-88.0811,286350,27776,2117,polygon,TRUE,America/Chicago,60073,1840011171
Peoria,Peoria,IL,Illinois,17143,Peoria,40.7518,-89.6153,265218,114265,914,polygon,TRUE,America/Chicago,61625 61606 61615 61614 61602 61605 61603 61604 61601 61612 61613 61629 61630 61633 61634 61635 61636 61637 61638 61639 61641 61643 61650 61651 61652 61653 61654 61655 61656,1840009373
Aurora,Aurora,IL,Illinois,17089,Kane,41.7638,-88.2901,201110,201110,1729,polygon,TRUE,America/Chicago,60506 60505 60504 60502 60503 60519 60507 60568 60569 60572 60598 60599,1840007034
Indianapolis,Indianapolis,IN,Indiana,18097,Marion,39.7771,-86.1458,1550488,855164,913,polygon,TRUE,America/Indiana/Indianapolis,46237 46218 46219 46217 46214 46260 46268 46226 46224 46229 46228 46183 46231 46234 46235 46236 46239 46254 46208 46201 46203 46202 46205 46204 46256 46250 46259 46227 46225 46222 46221 46220 46113 46278 46241 46240 46206 46207 46209 46210 46211 46230 46242 46244 46247 46249 46251 46253 46255 46262 46274 46275 46277 46282 46283 46285 46291 46296 46298,1840030084
